FID;FTYPE;DATE;TIMESTAMP;MACHINE;LANE;STAGE;OUTPUT;MJSID;LOTNAME;LOTNUMBER;SERIAL;PRODUCTID;PRODUCT;FID;BNDRcgStop;BNDStop;Board;BRcgStop;Bwait;CDErr;CMErr;CnvStop;CPErr;CRErr;CTErr;Cwait;FBStop;Fwait;JointPassWait;JudgeStop;LotBoard;LotModule;McFwait;McRwait;MHRcgStop;Module;OtherLStop;OthrStop;Pwait;Rwait;SCEStop;SCStop;Swait;TDispense;TDMiss;THMiss;TMMiss;TPickup;TPMiss;TPriming;Trbl;TRMiss;TRSErr;TRSMiss
37;u01;20130830064902956;1377863342;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526108;232;PTA635AA001_BA001_CA001_RRA635BA001_3;37;0;0;1194;0;0;0;0;0;0;0;0;0;0;12;0;0;1194;1194;11;967;0;1194;554;1;1;1440;0;5;0;0;0;5;0;225741;59;0;0;11;0;0
38;u01;20130830052315229;1377858195;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526009;232;PTA635AA001_BA001_CA001_RRA635BA001_3;38;0;0;1095;0;0;0;0;0;0;0;0;0;0;12;0;0;1095;1095;11;903;0;1095;496;1;0;1330;0;5;0;0;0;4;0;207022;54;0;0;9;0;0
39;u01;20130830061329828;1377861209;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525926;233;PTA635AA001_BA001_CA001_RSA635BA001_4;39;0;0;1018;0;0;0;0;0;0;0;0;0;0;50;0;0;1018;1018;11;952;0;1018;942;0;0;1264;1;5;0;0;0;0;0;153746;26;0;0;2;0;0
40;u01;20130830014531096;1377845131;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525612;233;PTA635AA001_BA001_CA001_RSA635BA001_4;40;0;0;704;0;0;0;0;0;0;0;0;0;0;41;0;0;704;704;11;651;0;704;654;0;0;851;0;2;0;0;0;0;0;106320;15;0;0;1;0;0
41;u01;20130830055201016;1377859921;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525900;233;PTA635AA001_BA001_CA001_RSA635BA001_4;41;0;0;992;0;0;0;0;0;0;0;0;0;0;44;0;0;992;992;11;932;0;992;924;0;0;1238;1;5;0;0;0;0;0;149820;26;0;0;2;0;0
42;u01;20130830064952860;1377863392;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526109;232;PTA635AA001_BA001_CA001_RRA635BA001_3;42;0;0;1195;0;0;0;0;0;0;0;0;0;0;12;0;0;1195;1195;11;967;0;1195;555;1;1;1441;0;5;0;0;0;5;0;225930;59;0;0;11;0;0
43;u01;20130830002819710;1377840499;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525520;233;PTA635AA001_BA001_CA001_RSA635BA001_4;43;0;0;612;0;0;0;0;0;0;0;0;0;0;41;0;0;612;612;11;548;0;612;562;0;0;714;0;0;0;0;0;0;0;92424;11;0;0;1;0;0
44;u01;20130830033816461;1377851896;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525888;232;PTA635AA001_BA001_CA001_RRA635BA001_3;44;0;0;974;0;0;0;0;0;0;0;0;0;0;12;0;0;974;974;11;799;0;974;427;0;0;1181;0;2;0;0;0;4;0;184149;50;0;0;9;0;0
45;u01;20130830063405955;1377862445;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525949;233;PTA635AA001_BA001_CA001_RSA635BA001_4;45;0;0;1041;0;0;0;0;0;0;0;0;0;0;58;0;0;1041;1041;11;967;0;1041;956;0;0;1279;1;5;0;0;0;0;0;157221;27;0;0;3;0;0
46;u01;20130830005443990;1377842083;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525690;232;PTA635AA001_BA001_CA001_RRA635BA001_3;46;0;0;776;0;0;0;0;0;0;0;0;0;0;12;0;0;776;776;11;586;0;776;344;0;0;922;0;0;0;0;0;3;0;146718;44;0;0;7;0;0
47;u01;20130830015631610;1377845791;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525626;233;PTA635AA001_BA001_CA001_RSA635BA001_4;47;0;0;718;0;0;0;0;0;0;0;0;0;0;41;0;0;718;718;11;666;0;718;668;0;0;875;0;2;0;0;0;0;0;108434;15;0;0;1;0;0
48;u01;20130830024541650;1377848741;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525681;233;PTA635AA001_BA001_CA001_RSA635BA001_4;48;0;0;773;0;0;0;0;0;0;0;0;0;0;44;0;0;773;773;11;717;0;773;714;0;0;927;0;2;0;0;0;0;0;116739;15;0;0;1;0;0
49;u01;20130830064414443;1377863054;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526103;232;PTA635AA001_BA001_CA001_RRA635BA001_3;49;0;0;1189;0;0;0;0;0;0;0;0;0;0;12;0;0;1189;1189;11;967;0;1189;552;1;1;1433;0;5;0;0;0;4;0;224792;58;0;0;9;0;0
50;u01;20130830025124549;1377849084;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525828;232;PTA635AA001_BA001_CA001_RRA635BA001_3;50;0;0;914;0;0;0;0;0;0;0;0;0;0;12;0;0;914;914;11;725;0;914;407;0;0;1102;0;2;0;0;0;4;0;172807;48;0;0;9;0;0
51;u01;20130830044910511;1377856150;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525977;232;PTA635AA001_BA001_CA001_RRA635BA001_3;51;0;0;1063;0;0;0;0;0;0;0;0;0;0;12;0;0;1063;1063;11;870;0;1063;482;1;0;1288;0;3;0;0;0;4;0;200973;53;0;0;9;0;0
52;u01;20130830010502152;1377842702;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525700;232;PTA635AA001_BA001_CA001_RRA635BA001_3;52;0;0;786;0;0;0;0;0;0;0;0;0;0;12;0;0;786;786;11;593;0;786;350;0;0;936;0;0;0;0;0;4;0;148609;44;0;0;7;0;0
53;u01;20130830060520553;1377860720;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526056;232;PTA635AA001_BA001_CA001_RRA635BA001_3;53;0;0;1142;0;0;0;0;0;0;0;0;0;0;12;0;0;1142;1142;11;939;0;1142;526;1;1;1390;0;5;0;0;0;4;0;215907;56;0;0;9;0;0
54;u01;20130830014914946;1377845354;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525617;233;PTA635AA001_BA001_CA001_RSA635BA001_4;54;0;0;709;0;0;0;0;0;0;0;0;0;0;41;0;0;709;709;11;657;0;709;659;0;0;860;0;2;0;0;0;0;0;107075;15;0;0;1;0;0
55;u01;20130830063755762;1377862675;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526094;232;PTA635AA001_BA001_CA001_RRA635BA001_3;55;0;0;1180;0;0;0;0;0;0;0;0;0;0;12;0;0;1180;1180;11;967;0;1180;547;1;1;1422;0;5;0;0;0;4;0;223090;57;0;0;9;0;0
56;u01;20130830044955293;1377856195;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525978;232;PTA635AA001_BA001_CA001_RRA635BA001_3;56;0;0;1064;0;0;0;0;0;0;0;0;0;0;12;0;0;1064;1064;11;871;0;1064;483;1;0;1289;0;3;0;0;0;4;0;201162;53;0;0;9;0;0
