SCRIPT: orig_chart7.sql
equipment_id	lane_no	stage_no	total_down_time	prev_proc_wait_time	next_proc_wait_time	singl_cycl_stop_time	chip_supp_wait_time	sldr_ctr_wait_time	sldr_snsr_wait_time	cln_paper_wait_time	brcg_time	cperr_count	dataedit	mente	othrstop_count	prodview	unitadjust	real_run_time	grand_total_in_hours	last_col
1012	1	1	65	2	6	0	0	0	0	0	219	OK	NULL	1012	1	1	11529	930	9633	205	156	0	0	0	18863	1422564729_8959_ManagementData.log	NULL
1012	1	1	65	2	6	0	0	0	0	0	219	OK	NULL	1012	1	1	11529	930	9633	205	156	0	0	0	18899	1422564765_8960_ManagementData.log	NULL
1012	1	1	65	2	6	0	0	0	0	0	219	OK	NULL	1012	1	1	11529	930	9633	205	156	0	0	0	18935	1422564802_8961_ManagementData.log	NULL
1012	1	1	65	2	6	0	0	0	0	0	219	OK	NULL	1012	1	1	11529	930	9633	205	156	0	0	0	19008	1422564875_8963_ManagementData.log	NULL
1012	1	1	65	2	6	0	0	0	0	0	219	OK	NULL	1012	1	1	11529	930	9633	205	156	0	0	0	18971	1422564838_8962_ManagementData.log	NULL
1012	1	1	12	8	4	0	0	0	0	0	254	OK	NULL	1012	1	1	11530	930	9634	205	156	0	0	0	19043	1422564912_8964_ManagementData.log	NULL
1012	1	1	12	8	4	0	0	0	0	0	254	OK	NULL	1012	1	1	11533	933	9634	205	156	0	0	0	19076	1422564947_8965_ManagementData.log	NULL
1012	1	1	12	8	4	0	0	0	0	0	254	OK	NULL	1012	1	1	11536	936	9634	205	156	0	0	0	19109	1422564985_8966_ManagementData.log	NULL
1012	1	1	12	8	4	0	0	0	0	0	254	OK	NULL	1012	1	1	11536	936	9634	205	156	0	0	0	19146	1422565021_8967_ManagementData.log	NULL
1012	1	1	12	8	4	0	0	0	0	0	254	OK	NULL	1012	1	1	11537	936	9635	205	156	0	0	0	19181	1422565068_8968_ManagementData.log	NULL
1012	1	1	12	8	4	0	0	0	0	0	254	OK	NULL	1012	1	1	11541	938	9637	205	156	0	0	0	19262	1422565141_8970_ManagementData.log	NULL
1012	1	1	12	8	4	0	0	0	0	0	254	OK	NULL	1012	1	1	11538	937	9635	205	156	0	0	0	19226	1422565105_8969_ManagementData.log	NULL
1012	1	1	125	28	97	0	0	0	0	0	243	OK	NULL	1012	1	1	11543	940	9637	205	156	0	0	0	19297	1422565274_8971_ManagementData.log	NULL
1012	1	1	125	28	97	0	0	0	0	0	243	OK	NULL	1012	1	1	11638	940	9732	205	156	0	0	0	19333	1422565310_8972_ManagementData.log	NULL
1012	1	1	125	28	97	0	0	0	0	0	243	OK	NULL	1012	1	1	11639	940	9733	205	156	0	0	0	19368	1422565347_8973_ManagementData.log	NULL
1012	1	1	125	28	97	0	0	0	0	0	243	OK	NULL	1012	1	1	11658	958	9734	205	156	0	0	0	19404	1422565383_8974_ManagementData.log	NULL
1012	1	1	125	28	97	0	0	0	0	0	243	OK	NULL	1012	1	1	11661	961	9734	205	156	0	0	0	19437	1422565420_8975_ManagementData.log	NULL
1012	1	1	125	28	97	0	0	0	0	0	243	OK	NULL	1012	1	1	11665	965	9734	205	156	0	0	0	19470	1422565456_8976_ManagementData.log	NULL
1012	1	1	125	28	97	0	0	0	0	0	243	OK	NULL	1012	1	1	11666	966	9734	205	156	0	0	0	19505	1422565492_8977_ManagementData.log	NULL
1012	1	1	0	0	0	0	0	0	0	0	109	OK	NULL	1012	1	1	11666	966	9734	205	156	0	0	0	19542	1422565528_8978_ManagementData.log	NULL
1012	1	1	0	0	0	0	0	0	0	0	109	OK	NULL	1012	1	1	11666	966	9734	205	156	0	0	0	19578	1422565564_8979_ManagementData.log	NULL
1012	1	1	0	0	0	0	0	0	0	0	109	OK	NULL	1012	1	1	11666	966	9734	205	156	0	0	0	19614	1422565781_8980_ManagementData.log	NULL
1012	1	1	249	5	198	46	0	0	0	0	223	OK	NULL	1012	1	1	11825	966	9847	251	156	0	0	0	19653	1422565817_8981_ManagementData.log	NULL
1012	1	1	249	5	198	46	0	0	0	0	223	OK	NULL	1012	1	1	11828	969	9847	251	156	0	0	0	19687	1422565854_8982_ManagementData.log	NULL
1012	1	1	249	5	198	46	0	0	0	0	223	OK	NULL	1012	1	1	11828	969	9847	251	156	0	0	0	19723	1422565983_8983_ManagementData.log	NULL
1012	1	1	249	5	198	46	0	0	0	0	223	OK	NULL	1012	1	1	11911	969	9930	251	156	0	0	0	19767	1422566019_8984_ManagementData.log	NULL
1012	1	1	249	5	198	46	0	0	0	0	223	OK	NULL	1012	1	1	11912	969	9931	251	156	0	0	0	19804	1422566056_8985_ManagementData.log	NULL
1012	1	1	249	5	198	46	0	0	0	0	223	OK	NULL	1012	1	1	11915	971	9932	251	156	0	0	0	19837	1422566092_8986_ManagementData.log	NULL
1012	1	1	71	15	56	0	0	0	0	0	205	OK	NULL	1012	1	1	11918	974	9932	251	156	0	0	0	19872	1422566129_8987_ManagementData.log	NULL
1012	1	1	71	15	56	0	0	0	0	0	205	OK	NULL	1012	1	1	11922	977	9933	251	156	0	0	0	19941	1422566220_8988_ManagementData.log	NULL
1012	1	1	71	15	56	0	0	0	0	0	205	OK	NULL	1012	1	1	11922	977	9933	251	156	0	0	0	19941	1422566256_8989_ManagementData.log	NULL
1012	1	1	71	15	56	0	0	0	0	0	205	OK	NULL	1012	1	1	11978	980	9986	251	156	0	0	0	19976	1422566295_8990_ManagementData.log	NULL
1012	1	1	71	15	56	0	0	0	0	0	205	OK	NULL	1012	1	1	11986	986	9988	251	156	0	0	0	20042	1422566368_8992_ManagementData.log	NULL
1012	1	1	71	15	56	0	0	0	0	0	205	OK	NULL	1012	1	1	11981	983	9986	251	156	0	0	0	20010	1422566332_8991_ManagementData.log	NULL
1012	1	1	12	7	5	0	0	0	0	0	281	OK	NULL	1012	1	1	11989	989	9988	251	156	0	0	0	20077	1422566405_8993_ManagementData.log	NULL
1012	1	1	12	7	5	0	0	0	0	0	281	OK	NULL	1012	1	1	11989	989	9988	251	156	0	0	0	20113	1422566442_8994_ManagementData.log	NULL
1012	1	1	12	7	5	0	0	0	0	0	281	OK	NULL	1012	1	1	11989	989	9988	251	156	0	0	0	20149	1422566479_8995_ManagementData.log	NULL
1012	1	1	12	7	5	0	0	0	0	0	281	OK	NULL	1012	1	1	11994	993	9989	251	156	0	0	0	20181	1422566515_8996_ManagementData.log	NULL
1012	1	1	12	7	5	0	0	0	0	0	281	OK	NULL	1012	1	1	11994	993	9989	251	156	0	0	0	20218	1422566551_8997_ManagementData.log	NULL
1012	1	1	12	7	5	0	0	0	0	0	281	OK	NULL	1012	1	1	11996	993	9991	251	156	0	0	0	20253	1422566588_8998_ManagementData.log	NULL
1012	1	1	12	7	5	0	0	0	0	0	281	OK	NULL	1012	1	1	11996	993	9991	251	156	0	0	0	20289	1422566624_8999_ManagementData.log	NULL
1012	1	1	12	7	5	0	0	0	0	0	281	OK	NULL	1012	1	1	11998	993	9993	251	156	0	0	0	20323	1422566661_9000_ManagementData.log	NULL
1012	1	1	160	14	146	0	0	0	0	0	167	OK	NULL	1012	1	1	12001	996	9993	251	156	0	0	0	20356	1422566841_9001_ManagementData.log	NULL
1012	1	1	160	14	146	0	0	0	0	0	167	OK	NULL	1012	1	1	12149	1000	10137	251	156	0	0	0	20388	1422566877_9002_ManagementData.log	NULL
1012	1	1	160	14	146	0	0	0	0	0	167	OK	NULL	1012	1	1	12153	1003	10138	251	156	0	0	0	20421	1422566914_9003_ManagementData.log	NULL
1012	1	1	160	14	146	0	0	0	0	0	167	OK	NULL	1012	1	1	12155	1004	10139	251	156	0	0	0	20457	1422566950_9004_ManagementData.log	NULL
1012	1	1	160	14	146	0	0	0	0	0	167	OK	NULL	1012	1	1	12158	1007	10139	251	156	0	0	0	20490	1422566986_9005_ManagementData.log	NULL
1012	1	1	15	12	3	0	0	0	0	0	275	OK	NULL	1012	1	1	12161	1010	10139	251	156	0	0	0	20523	1422567022_9006_ManagementData.log	NULL
1012	1	1	15	12	3	0	0	0	0	0	275	OK	NULL	1012	1	1	12164	1013	10139	251	156	0	0	0	20556	1422567058_9007_ManagementData.log	NULL
1012	1	1	15	12	3	0	0	0	0	0	275	OK	NULL	1012	1	1	12165	1014	10139	251	156	0	0	0	20591	1422567094_9008_ManagementData.log	NULL
1012	1	1	15	12	3	0	0	0	0	0	275	OK	NULL	1012	1	1	12166	1014	10140	251	156	0	0	0	20627	1422567130_9009_ManagementData.log	NULL
1012	1	1	15	12	3	0	0	0	0	0	275	OK	NULL	1012	1	1	12168	1014	10142	251	156	0	0	0	20662	1422567168_9010_ManagementData.log	NULL
1012	1	1	15	12	3	0	0	0	0	0	275	OK	NULL	1012	1	1	12171	1017	10142	251	156	0	0	0	20695	1422567205_9011_ManagementData.log	NULL
1012	1	1	15	12	3	0	0	0	0	0	275	OK	NULL	1012	1	1	12173	1019	10142	251	156	0	0	0	20765	1422567277_9013_ManagementData.log	NULL
