START TABLE: product_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PRODUCT_DATA	PRODUCT_ID	1	108	numeric	38
PRODUCT_DATA	PRODUCT_NAME	0	231	nvarchar	0
PRODUCT_DATA	DOS_PRODUCT_NAME	0	231	nvarchar	0
PRODUCT_DATA	PATTERNS_PER_PANEL	0	108	numeric	38
PRODUCT_DATA	PANEL_WIDTH	0	108	numeric	38
PRODUCT_DATA	PANEL_LENGTH	0	108	numeric	38
PRODUCT_DATA	PANEL_THICKNESS	0	108	numeric	38
PRODUCT_DATA	CAMERA_XAXIS_TOP	0	108	numeric	38
PRODUCT_DATA	CAMERA_YAXIS_TOP	0	108	numeric	38
PRODUCT_DATA	CAMERA_XAXIS_BOTTOM	0	108	numeric	38
PRODUCT_DATA	CAMERA_YAXIS_BOTTOM	0	108	numeric	38
PRODUCT_DATA	TOOLING_PIN_DISTANCE	0	108	numeric	38
PRODUCT_DATA	BARCODES_PER_PANEL	0	108	numeric	38
PRODUCT_DATA	PRODUCT_VALID_FLAG	0	231	nvarchar	0
PRODUCT_DATA	TOOLING_PIN	0	231	nvarchar	0
PRODUCT_DATA	CONVEYOR_SPEED	0	108	numeric	38
PRODUCT_DATA	USE_BRD_FILE	0	231	nvarchar	0
PRODUCT_DATA	BASE_PRODUCT_ID	0	108	numeric	38
END METADATA:
START DATA:
PRODUCT_ID	PRODUCT_NAME	DOS_PRODUCT_NAME	PATTERNS_PER_PANEL	PANEL_WIDTH	PANEL_LENGTH	PANEL_THICKNESS	CAMERA_XAXIS_TOP	CAMERA_YAXIS_TOP	CAMERA_XAXIS_BOTTOM	CAMERA_YAXIS_BOTTOM	TOOLING_PIN_DISTANCE	BARCODES_PER_PANEL	PRODUCT_VALID_FLAG	TOOLING_PIN	CONVEYOR_SPEED	USE_BRD_FILE	BASE_PRODUCT_ID
1080	RSA421AA000	RSA421AA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1081	RRA421BA000	RRA421BA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1082	RSA421BA000	RSA421BA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1083	RRA421CA000	RRA421CA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1084	RSA421CA000	RSA421CA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1085	RRA426AA000	RRA426AA000	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1086	RSA426AA000	RSA426AA000	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1087	RRA419AA000	RRA419AA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1088	RSA419AA000	RSA419AA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1089	RRA421AA001	RRA421AA001	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1090	RSA421AA001	RSA421AA001	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1091	RRA421BA001	RRA421BA001	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1092	RSA421BA001	RSA421BA001	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1093	RRA426AA000_1	RRA426AA000_1	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1094	RSA426AA000_1	RSA426AA000_1	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1095	RRA419AA001	RRA419AA001	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1096	RSA419AA001	RSA419AA001	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1097	RRA307AA002	RRA307AA002	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
