START TABLE: nc_placement_detail
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
NC_PLACEMENT_DETAIL	NC_PLACEMENT_ID	1	108	numeric	38
NC_PLACEMENT_DETAIL	IDNUM	0	108	numeric	38
NC_PLACEMENT_DETAIL	REF_DESIGNATOR	0	231	nvarchar	0
NC_PLACEMENT_DETAIL	PART_NAME	0	262	udt_part_no	0
NC_PLACEMENT_DETAIL	PATTERN_NUMBER	0	108	numeric	38
NC_PLACEMENT_DETAIL	NC_VERSION	0	108	numeric	38
NC_PLACEMENT_DETAIL	PATTERN_IDNUM	0	108	numeric	38
END METADATA:
START DATA:
NC_PLACEMENT_ID	IDNUM	REF_DESIGNATOR	PART_NAME	PATTERN_NUMBER	NC_VERSION	PATTERN_IDNUM
1000212	827	U1212	13E5-1212	1	148304	NULL
1000213	828	U1213	13E5-1213	1	148304	NULL
1000214	829	U1214	13E5-1214	1	148304	NULL
1000215	833	U1215	13E5-1215	1	148304	NULL
1000216	834	U1216	13E5-1216	1	148304	NULL
1000217	835	U1217	13E5-1217	1	148304	NULL
1000218	837	U1218	13E5-1218	1	148304	NULL
1000219	838	U1219	13E5-1219	1	148304	NULL
1000220	839	U1220	13E5-1220	1	148304	NULL
1000221	841	U1221	13E5-1221	1	148304	NULL
1000222	845	U1222	13E5-1222	1	148304	NULL
1000223	846	U1223	13E5-1223	1	148304	NULL
1000224	847	U1224	13E5-1224	1	148304	NULL
1000225	873	U1225	13E5-1225	1	148304	NULL
1000226	874	U1226	13E5-1226	1	148304	NULL
1000227	881	U1227	13E5-1227	1	148304	NULL
1000228	882	U1228	13E5-1228	1	148304	NULL
1000229	895	U1229	13E5-1229	1	148304	NULL
1000230	896	U1230	13E5-1230	1	148304	NULL
1000231	9	U1231	13E5-1231	1	148304	NULL
1000232	903	U1232	13E5-1232	1	148304	NULL
1000233	904	U1233	13E5-1233	1	148304	NULL
1000234	917	U1234	13E5-1234	1	148304	NULL
1000235	918	U1235	13E5-1235	1	148304	NULL
1000236	919	U1236	13E5-1236	1	148304	NULL
1000237	920	U1237	13E5-1237	1	148304	NULL
1000238	925	U1238	13E5-1238	1	148304	NULL
1000239	928	U1239	13E5-1239	1	148304	NULL
1000240	929	U1240	13E5-1240	1	148304	NULL
1000241	930	U1241	13E5-1241	1	148304	NULL
1000242	931	U1242	13E5-1242	1	148304	NULL
1000243	932	U1243	13E5-1243	1	148304	NULL
1000244	937	U1244	13E5-1244	1	148304	NULL
1000245	940	U1245	13E5-1245	1	148304	NULL
1000246	949	U1246	13E5-1246	1	148304	NULL
1000247	955	U1247	13E5-1247	1	148304	NULL
1000248	961	U1248	13E5-1248	1	148304	NULL
1000249	966	U1249	13E5-1249	1	148304	NULL
1000250	967	U1250	13E5-1250	1	148304	NULL
1000251	971	U1251	13E5-1251	1	148304	NULL
1000252	972	U1252	13E5-1252	1	148304	NULL
1000253	978	U1253	13E5-1253	1	148304	NULL
1000254	983	U1254	13E5-1254	1	148304	NULL
1000255	984	U1255	13E5-1255	1	148304	NULL
2000001	100	U2001	13E5-2001	1	148309	NULL
