START TABLE: tracking_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
TRACKING_DATA	SERIAL_NO	0	231	nvarchar	0
TRACKING_DATA	PROD_MODEL_NO	0	231	nvarchar	0
TRACKING_DATA	PANEL_ID	0	108	numeric	38
TRACKING_DATA	PATTERN_ID	0	108	numeric	38
TRACKING_DATA	BARCODE	0	231	nvarchar	0
TRACKING_DATA	SETUP_ID	0	108	numeric	38
TRACKING_DATA	TOP_BOTTOM	0	231	nvarchar	0
TRACKING_DATA	TIMESTAMP	0	56	int	10
TRACKING_DATA	IMPORT_FLAG	0	56	int	10
END METADATA:
START DATA:
SERIAL_NO	PROD_MODEL_NO	PANEL_ID	PATTERN_ID	BARCODE	SETUP_ID	TOP_BOTTOM	TIMESTAMP	IMPORT_FLAG
525699	 	1191152	1191148	 	17254	T	1452272916	0
060080FZ38	A635BA	1191153	1191149	A635BA      060080FZ38	17256	T	1452272917	0
525700	 	1191154	1191150	 	17254	T	1452272917	0
059890FZ38	A635BA	1191155	1191151	A635BA      059890FZ38	17256	T	1452272917	0
525701	 	1191156	1191152	 	17254	T	1452272917	0
059900FZ38	A635BA	1191157	1191153	A635BA      059900FZ38	17256	T	1452272918	0
525702	 	1191158	1191154	 	17254	T	1452272918	0
059910FZ38	A635BA	1191159	1191155	A635BA      059910FZ38	17256	T	1452272918	0
525703	 	1191160	1191156	 	17254	T	1452272918	0
059920FZ38	A635BA	1191161	1191157	A635BA      059920FZ38	17256	T	1452272918	0
525704	 	1191162	1191158	 	17254	T	1452272919	0
059930FZ38	A635BA	1191163	1191159	A635BA      059930FZ38	17256	T	1452272919	0
525705	 	1191164	1191160	 	17254	T	1452272919	0
059940FZ38	A635BA	1191165	1191161	A635BA      059940FZ38	17256	T	1452272919	0
525706	 	1191166	1191162	 	17254	T	1452272920	0
059950FZ38	A635BA	1191167	1191163	A635BA      059950FZ38	17256	T	1452272920	0
525707	 	1191168	1191164	 	17254	T	1452272920	0
059970FZ38	A635BA	1191169	1191165	A635BA      059970FZ38	17256	T	1452272920	0
525708	 	1191170	1191166	 	17254	T	1452272921	0
059980FZ38	A635BA	1191171	1191167	A635BA      059980FZ38	17256	T	1452272966	0
525709	 	1191172	1191168	 	17254	T	1452272966	0
059790FZ38	A635BA	1191173	1191169	A635BA      059790FZ38	17256	T	1452272967	0
525710	 	1191174	1191170	 	17254	T	1452272967	0
059800FZ38	A635BA	1191175	1191171	A635BA      059800FZ38	17256	T	1452272967	0
525711	 	1191176	1191172	 	17254	T	1452272968	0
059810FZ38	A635BA	1191177	1191173	A635BA      059810FZ38	17256	T	1452272968	0
525712	 	1191178	1191174	 	17254	T	1452272968	0
059830FZ38	A635BA	1191179	1191175	A635BA      059830FZ38	17256	T	1452272968	0
525713	 	1191180	1191176	 	17254	T	1452272968	0
059840FZ38	A635BA	1191181	1191177	A635BA      059840FZ38	17256	T	1452272969	0
525714	 	1191182	1191178	 	17254	T	1452272969	0
059850FZ38	A635BA	1191183	1191179	A635BA      059850FZ38	17256	T	1452272969	0
525715	 	1191184	1191180	 	17254	T	1452272969	0
059860FZ38	A635BA	1191185	1191181	A635BA      059860FZ38	17256	T	1452272970	0
