START TABLE: panels
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PANELS	PANEL_ID	0	108	numeric	38
PANELS	EQUIPMENT_ID	0	108	numeric	38
PANELS	NC_VERSION	0	108	numeric	38
PANELS	START_TIME	0	108	numeric	38
PANELS	END_TIME	0	108	numeric	38
PANELS	PANEL_EQUIPMENT_ID	1	108	numeric	38
PANELS	PANEL_SOURCE	0	108	numeric	38
PANELS	PANEL_TRACE	0	108	numeric	38
PANELS	STAGE_NO	0	108	numeric	38
PANELS	LANE_NO	0	108	numeric	38
PANELS	JOB_ID	0	108	numeric	38
PANELS	SETUP_ID	0	56	int	10
PANELS	TRX_PRODUCT_ID	0	231	nvarchar	0
PANELS	HUMIDITY	0	108	numeric	38
PANELS	TEMPERATURE	0	108	numeric	38
END METADATA:
START DATA:
PANEL_ID	EQUIPMENT_ID	NC_VERSION	START_TIME	END_TIME	PANEL_EQUIPMENT_ID	PANEL_SOURCE	PANEL_TRACE	STAGE_NO	LANE_NO	JOB_ID	SETUP_ID	TRX_PRODUCT_ID	HUMIDITY	TEMPERATURE
1191503	1013	148302	1377851677	1377851677	3573	2	2	1	1	NULL	17256	20130830033437595-04-1-1-525735-A635BA      061460FZ38-4-A635BA-061460FZ38.u03	0	0
1191504	1013	148297	1377851702	1377851702	3574	2	2	1	2	NULL	17254	20130830033502998-04-1-2-525875--4--525875.u03	0	0
1191505	1013	148302	1377851722	1377851722	3575	2	2	1	1	NULL	17256	20130830033522343-04-1-1-525736-A635BA      061290FZ38-4-A635BA-061290FZ38.u03	0	0
1191506	1013	148297	1377851747	1377851747	3576	2	2	1	2	NULL	17254	20130830033547791-04-1-2-525876--4--525876.u03	0	0
1191507	1013	148302	1377851767	1377851767	3577	2	2	1	1	NULL	17256	20130830033607119-04-1-1-525737-A635BA      061300FZ38-4-A635BA-061300FZ38.u03	0	0
1191508	1013	148297	1377851805	1377851805	3578	2	2	1	2	NULL	17254	20130830033645072-04-1-2-525877--4--525877.u03	0	0
1191509	1013	148302	1377851841	1377851841	3579	2	2	1	1	NULL	17256	20130830033721930-04-1-1-525738-A635BA      061310FZ38-4-A635BA-061310FZ38.u03	0	0
1191510	1013	148297	1377851867	1377851867	3580	2	2	1	2	NULL	17254	20130830033747474-04-1-2-525878--4--525878.u03	0	0
1191511	1013	148302	1377851886	1377851886	3581	2	2	1	1	NULL	17256	20130830033806838-04-1-1-525739-A635BA      061320FZ38-4-A635BA-061320FZ38.u03	0	0
1191512	1013	148297	1377851912	1377851912	3582	2	2	1	2	NULL	17254	20130830033832344-04-1-2-525879--4--525879.u03	0	0
1191482	1014	148298	1377851329	1377851329	3583	2	2	1	2	NULL	17254	20130830032849906-05-1-2-525864--4--525864.u03	0	0
1191483	1014	148303	1377851352	1377851352	3584	2	2	1	1	NULL	17256	20130830032912188-05-1-1-525725-A635BA      061550FZ38-4-A635BA-061550FZ38.u03	0	0
1191484	1014	148298	1377851367	1377851367	3585	2	2	1	2	NULL	17254	20130830032927517-05-1-2-525865--4--525865.u03	0	0
1191485	1014	148303	1377851389	1377851389	3586	2	2	1	1	NULL	17256	20130830032949627-05-1-1-525726-A635BA      061560FZ38-4-A635BA-061560FZ38.u03	0	0
1191486	1014	148298	1377851404	1377851404	3587	2	2	1	2	NULL	17254	20130830033004953-05-1-2-525866--4--525866.u03	0	0
1191487	1014	148303	1377851426	1377851426	3588	2	2	1	1	NULL	17256	20130830033026972-05-1-1-525727-A635BA      061570FZ38-4-A635BA-061570FZ38.u03	0	0
1191488	1014	148298	1377851442	1377851442	3589	2	2	1	2	NULL	17254	20130830033042257-05-1-2-525867--4--525867.u03	0	0
1191489	1014	148303	1377851464	1377851464	3590	2	2	1	1	NULL	17256	20130830033104246-05-1-1-525728-A635BA      061580FZ38-4-A635BA-061580FZ38.u03	0	0
