MACHINE;LANE;STAGE;PRODUCT;TIMESTAMP;FID;FNAME;OUTPUT;SERIAL;PRODUCTID;TPickup;TPMiss;TRMiss;TDMiss;THMiss;TRSMiss;TMMiss
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844451;537;20130830013411816-01-1-1-525597-A635BA      060130FZ38-3-A635BA-060130FZ38.U01;3;525597;233;104055;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844493;674;20130830013453408-01-1-1-525598-A635BA      060140FZ38-3-A635BA-060140FZ38.U01;3;525598;233;104206;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844539;449;20130830013539469-01-1-1-525599-A635BA      060150FZ38-3-A635BA-060150FZ38.U01;3;525599;233;104357;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844585;256;20130830013625304-01-1-1-525600-A635BA      060160FZ38-3-A635BA-060160FZ38.U01;3;525600;233;104508;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844631;654;20130830013711018-01-1-1-525601-A635BA      060170FZ38-3-A635BA-060170FZ38.U01;3;525601;233;104659;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844678;264;20130830013758663-01-1-1-525602-A635BA      059990FZ38-3-A635BA-059990FZ38.U01;3;525602;233;104810;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844722;782;20130830013842833-01-1-1-525603-A635BA      060000FZ38-3-A635BA-060000FZ38.U01;3;525603;233;104961;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844767;518;20130830013927853-01-1-1-525604-A635BA      060010FZ38-3-A635BA-060010FZ38.U01;3;525604;233;105112;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844827;325;20130830014027453-01-1-1-525605-A635BA      060020FZ38-3-A635BA-060020FZ38.U01;3;525605;233;105263;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844866;562;20130830014106359-01-1-1-525606-A635BA      060040FZ38-3-A635BA-060040FZ38.U01;3;525606;233;105414;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844905;290;20130830014145247-01-1-1-525607-A635BA      060050FZ38-3-A635BA-060050FZ38.U01;3;525607;233;105565;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844947;814;20130830014227215-01-1-1-525608-A635BA      059780FZ38-3-A635BA-059780FZ38.U01;3;525608;233;105716;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377844993;631;20130830014313842-01-1-1-525609-A635BA      059820FZ38-3-A635BA-059820FZ38.U01;3;525609;233;105867;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377845038;212;20130830014358805-01-1-1-525610-A635BA      059960FZ38-3-A635BA-059960FZ38.U01;3;525610;233;106018;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377845083;848;20130830014443438-01-1-1-525611-A635BA      060030FZ38-3-A635BA-060030FZ38.U01;3;525611;233;106169;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377845131;40;20130830014531096-01-1-1-525612-A635BA      060180FZ38-3-A635BA-060180FZ38.U01;3;525612;233;106320;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377845174;533;20130830014614997-01-1-1-525613-A635BA      060250FZ38-3-A635BA-060250FZ38.U01;3;525613;233;106471;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377845219;327;20130830014659797-01-1-1-525614-A635BA      060210FZ38-3-A635BA-060210FZ38.U01;3;525614;233;106622;15;1;0;0;0;0
